id,Sim TTC,Wall TTC,Failure,Low Battery,Tiemout,Success
00,216.20,303.37,0,0,0,1
01,681.38,900.34,0,0,1,0
02,274.50,370.44,0,0,0,1
03,199.85,272.40,0,0,0,1
04,215.57,291.38,0,0,0,1
05,682.20,900.33,0,0,1,0
06,694.68,900.31,0,0,1,0
07,696.50,900.37,0,0,1,0
08,225.90,301.06,0,0,0,1
09,206.93,279.39,0,0,0,1
10,224.62,283.35,0,0,0,1
11,514.18,623.89,0,0,0,1
12,508.78,617.89,0,0,0,1
13,223.55,283.37,0,0,0,1
14,502.68,614.91,0,0,0,1
15,507.22,620.90,0,0,0,1
16,226.93,286.39,0,0,0,1
17,225.40,285.38,0,0,0,1
18,454.72,555.81,0,0,0,1
19,427.18,520.68,0,0,0,1
20,320.32,399.62,0,0,0,1
21,288.63,352.52,0,0,0,1
22,323.37,395.55,0,0,0,1
23,519.25,628.89,0,1,0,0
24,759.45,900.40,0,0,1,0
25,414.23,562.36,1,0,0,0
26,276.45,374.52,0,0,0,1
27,436.30,578.90,0,0,0,1
28,433.38,565.77,0,0,0,1
29,217.18,290.39,0,0,0,1
30,213.70,284.39,0,0,0,1
31,697.88,900.34,0,0,1,0
32,254.87,332.51,0,0,0,1
33,727.38,900.34,0,0,1,0
34,758.32,900.42,0,0,1,0
35,773.18,900.36,0,0,1,0
36,211.15,258.34,0,0,0,1
37,231.83,277.36,0,0,0,1
38,392.50,462.62,0,0,0,1
39,426.98,503.71,0,0,0,1
40,226.92,278.36,0,0,0,1
41,228.75,277.37,0,0,0,1
42,210.22,257.33,0,0,0,1
43,411.52,484.66,0,0,0,1
44,804.18,900.42,0,0,1,0
45,322.05,382.53,0,0,0,1
46,316.68,378.53,0,0,0,1
47,312.68,371.58,0,0,0,1
48,434.17,511.73,0,0,0,1
49,430.35,504.73,0,0,0,1
50,283.52,342.47,0,0,0,1
51,290.17,344.48,0,0,0,1
52,773.28,900.32,0,0,1,0
53,492.18,573.83,0,0,0,1
54,266.53,314.35,0,0,0,1
55,421.85,495.69,0,0,0,1
56,770.85,900.37,0,0,1,0
57,431.75,507.72,0,0,0,1
58,437.07,513.71,0,0,0,1
59,520.78,613.87,0,1,0,0
60,209.43,254.33,0,0,0,1
61,772.70,900.38,0,0,1,0
62,253.42,300.41,0,0,0,1
63,517.02,609.90,1,0,0,0
64,232.58,281.37,0,0,0,1
65,209.55,257.31,0,0,0,1
66,227.98,287.35,0,0,0,1
67,225.07,284.39,0,0,0,1
68,802.38,900.39,0,0,1,0
69,227.07,281.37,0,0,0,1
70,228.18,284.40,0,0,0,1
71,504.08,609.90,0,0,0,1
72,466.80,564.82,0,0,0,1
73,288.00,355.48,0,0,0,1
74,284.50,348.48,0,0,0,1
75,497.15,602.84,0,0,0,1
76,315.48,389.53,0,0,0,1
77,421.53,511.75,0,0,0,1
78,454.13,545.85,0,0,0,1
79,578.18,705.95,0,0,0,1
80,429.63,541.77,0,0,0,1
