id,Sim TTC,Wall TTC,Failure,Low Battery,Tiemout,Success
00,171.12,250.28,1,0,0,0
01,141.93,213.29,1,0,0,0
02,443.80,621.72,0,0,0,1
03,156.33,239.31,1,0,0,0
04,681.48,900.11,0,0,1,0
05,304.17,424.09,0,0,0,1
06,696.38,900.15,0,0,1,0
07,393.40,545.65,0,0,0,1
08,171.23,245.34,1,0,0,0
09,245.45,346.46,0,0,0,1
11,742.88,900.13,0,0,1,0
12,188.08,260.33,1,0,0,0
13,129.00,183.26,1,0,0,0
14,665.70,816.98,0,0,0,1
15,203.78,275.36,1,0,0,0
16,396.55,506.62,0,0,0,1
17,319.88,412.49,0,0,0,1
18,173.70,237.34,1,0,0,0
19,413.83,530.68,0,0,0,1
20,583.53,732.90,0,0,0,1
21,157.62,214.25,1,0,0,0
22,586.77,742.87,0,0,0,1
23,370.25,486.56,0,0,0,1
24,757.88,900.08,0,0,1,0
25,416.60,526.67,0,0,0,1
26,744.28,900.07,0,0,1,0
27,437.48,553.72,0,0,0,1
28,442.48,562.67,0,0,0,1
29,295.85,368.45,0,0,0,1
30,114.42,152.19,1,0,0,0
31,603.98,725.85,0,0,0,1
32,123.35,161.22,1,0,0,0
33,205.83,266.30,1,0,0,0
34,650.97,768.99,0,0,0,1
35,606.57,726.86,0,0,0,1
36,205.45,260.35,0,0,0,1
37,253.83,319.34,0,0,0,1
38,362.38,450.58,0,0,0,1
39,457.42,609.78,0,0,0,1
40,726.67,900.14,0,0,1,0
41,216.90,299.37,0,0,0,1
42,727.68,900.11,0,0,1,0
43,667.45,864.05,0,0,0,1
44,697.28,900.07,0,0,1,0
45,346.73,449.56,0,0,0,1
46,579.45,717.86,0,0,0,1
47,290.78,349.50,0,0,0,1
48,425.75,501.58,0,0,0,1
49,431.67,512.57,0,0,0,1
50,580.57,682.81,0,0,0,1
51,324.43,392.44,0,0,0,1
52,817.22,900.11,0,0,1,0
53,774.65,900.08,0,0,1,0
54,462.58,553.70,0,0,0,1
55,474.47,565.64,1,0,0,0
56,606.68,722.89,0,0,0,1
57,423.03,508.59,0,0,0,1
58,427.08,519.65,1,0,0,0
59,288.72,352.39,0,0,0,1
60,208.90,261.33,0,0,0,1
61,390.23,473.61,0,0,0,1
62,561.97,668.83,0,0,0,1
63,486.68,592.69,0,0,0,1
64,267.30,329.38,0,0,0,1
65,802.72,900.12,0,0,1,0
66,207.98,256.28,0,0,0,1
67,206.30,254.31,0,0,0,1
68,275.38,338.39,0,0,0,1
69,226.35,277.33,0,0,0,1
70,804.80,900.08,0,0,1,0
71,414.48,505.60,0,0,0,1
72,533.93,648.79,1,0,0,0
73,307.97,375.50,0,0,0,1
74,287.57,353.43,0,0,0,1
75,497.07,597.70,0,0,0,1
76,594.00,715.84,0,0,0,1
77,674.43,810.96,0,0,0,1
78,571.80,686.94,0,0,0,1
79,527.82,621.72,0,0,0,1
80,399.97,477.61,0,0,0,1
