,Baseline,Success,Failure
Sim TTC Mean,392.97078124999996,329.3657142857144,465.625
Sim TTC STD,141.36760660700406,110.31915742903648,72.68350603816519
Wall TTC Mean,463.1853125,405.28857142857146,586.13
Wall TTC STD,158.22496336434028,128.97447094048448,33.615856377608445
