,Baseline,Planner Success,Planner Failure,Planner Low Battery
Sim TTC Mean,419.005283018868,329.9554929577465,394.17333333333335,519.23
Sim TTC STD,141.23263760689002,99.31781702895195,114.08217447670486,0.3535533905932738
Wall TTC Mean,519.7177358490566,425.4538028169013,498.2633333333333,647.78
Wall TTC STD,168.52499686352752,122.31139045621217,133.47918202226646,25.427559851468274
